Bureau,Gender,Grade,Title,Name,YearsService
East Asian and Pacific Affairs (EAP),female,FS6,Team Member,Janelle Smith,10
Intelligence and Research (INR),male,N/A,Team Member,    Roger Stone,21
Trafficking in Persons (TIP),male,GS-12,Analyst,Raymond Ledezma,18
Information Resource Management (IRM),female,GS8,Team Member,Kelly Fugate,16
Consular Affairs (CA),female,FS-5,Team Member,  Hanshaw,13
Director General of the Foreign Service and Director of Human Resources (DGHR),female,FS-3,Manager,Linda Ratliff,24
Legal Adviser (L),male,N/A,Manager,Kevin Carter,10
Mission to the United Nations (USUN),male,GS-15,Manager, Steven Gilmore,9
Director General of the Foreign Service and Director of Human Resources (DGHR),male,FS1,Manager,John Petty,8
Consular Affairs (CA),female,N/A,Team Member,   Rosa Carter,20
Protocol (S/CPR),male,FS-8,Team Member,Larry Bullinger,24
Trafficking in Persons (TIP),female,FS2,Manager,    Maryann Vanderlinden   ,21
Foreign Missions (OFM),female,FS-7,Team Member,     Barbara Schenkel ,23
Mission to the United Nations (USUN),male,GS-10,Team Member,Lynn Young,7
International Information Programs (IIP),male,GS-9,Team Member,John Williams   ,15
Oceans and International Environmental and Scientific Affairs(OES),female,N/A,Manager,  Paula Hinnant,5
Administration (A),female,GS 14,Manager,Ruby High,25
Oceans and International Environmental and Scientific Affairs(OES),male,FS-3,Manager,Kenneth Worley ,17
Comptroller and Global Financial Services (CGFS),male,N/A,Team Member,Rodger Dear,21
Quadrennial Diplomacy and Development Review (QDDR),male,FS-3,Manager,    Adam Morgan,21
Energy Resources (ENR),male,N/A,Team Member,   Tyrone Graham,19
Global AIDS Coordinator (S/GAC),male,FS-4,Team Member,Tyler Haynes,6
"Democracy, Human Rights, and Labor (DRL)",female,N/A,Team Member,Matilda Markus,11
Human Resources (DGHR),female,N/A,Mgmt,Christine Guerrero ,18
Medical Services (MED),female,GS-8,Team Member,Marcelle Carboni,9
Policy Planning Staff (S/P),female,GS-13,Manager, Carolyn Drost     ,8
Consular Affairs (CA),female,FS-5,Team Member,Carrie Rabideau ,19
East Asian and Pacific Affairs (EAP),female,N/A,Manager,Julie Kelley,8
Conflict and Stabilization Operations (CSO),male,GS-13,Manager,Robert Pennington,9
Foreign Service Institute (FSI),male,FS-3,Manager,  Melvin Couture,15
International Narcotics and Law Enforcement Affairs (INL),female,N/A,Team Member,Sandy Souder,16
Mission to the United Nations (USUN),male,N/A,Manager,Walter Falconer,14
Energy Resources (ENR),female,FS6,Team Member, Estella Barnard,1
Foreign Missions (OFM),female,N/A,Manager,  Heather Jarman   ,20
Administration (A),female,FS-5,Team Member,Dorothy Rivers,23
International Organization Affairs (IO),female,FS-3,Manager,Pauline Gregg,20
Energy Resources (ENR),male,FS-7,Analyst,   Issac Hoefer    ,15
Energy Resources (ENR),female,GS-12,Team Member,Clara Hatch,2
Counterterrorism (CT),female,FS-8,Team Member, Wier,11
Oceans and International Environmental and Scientific Affairs(OES),female,GS-13,Manager,     Susan Williams     ,19
International Organization Affairs (IO),female,FS-7,Team Member,Viola Fountain  ,21
Protocol (S/CPR),female,GS-15,Manager,Nina Wild,24
Global Youth Issues (GYI),male,GS11,Team Member,   George Phan,12
Western Hemisphere Affairs (WHA),male,GS-7,Team Member,John Arsenault,24
Trafficking in Persons (TIP),female,FS-8,Team Member,Munson,15
Human Resources (DGHR),female,FS-4,Team Member,Dorothy Bates   ,23
Global Youth Issues (GYI),female,N/A,Team Member,Veronica Chance,23
Public Affairs (PA),male,GS14,Manager,Donald Knauf  ,2
Foreign Assistance (F),female,FS-2,Manager,    Teri Burton,6
Diplomatic Security (DS),female,N/A,Manager,Ressie Reyes,17
Near Eastern Affairs (NEA),female,GS-9,Analyst,Katherine Vaughan  ,17
"Democracy, Human Rights, and Labor (DRL)",male,SFS-2,Executive,  Jeffrey Wyatt   ,21
Protocol (S/CPR),female,FS-8,Team Member,Karma Theiss   ,11
Legislative Affairs (H),male,FS-6,Team Member,  Mohammad Manley,24
Educational and Cultural Affairs (ECA),male,N/A,Analyst,  Jason Hansen    ,25
South and Central Asian Affairs (SCA),female,FS-1,Mgmt, Denise Baker   ,25
International Information Programs (IIP),female,FS-7,Team Member,     Roseann Branch,23
Human Resources (DGHR),male,FS-1,Manager,Stuart Stephens,13
Administration (A),male,FS-9,Team Member,   Christopher Bagby,13
Comptroller and Global Financial Services (CGFS),male,GS-12,Team Member,    Steven Pieratt,24
Foreign Missions (OFM),female,FS-1,Manager,Ingram    ,9
Foreign Assistance (F),male,FS-3,Manager,Anthony Cox ,4
Educational and Cultural Affairs (ECA),female,FS-5,Team Member,    Jean Grohs,2
Policy Planning Staff (S/P),female,N/A,Manager,Evelyn Moore,10
Trafficking in Persons (TIP),male,FS-6,Team Member,Ramon Heisler ,8
Comptroller and Global Financial Services (CGFS),male,FS-4,Analyst,Vincent Beatty,12
Oceans and International Environmental and Scientific Affairs(OES),male,FS-2,Manager,   Daniel Brown,1
Foreign Missions (OFM),male,GS-11,Team Member,    Michael Christensen,12
Legislative Affairs (H),male,GS-13,Manager,   Arthur Aguinaga,9
International Information Programs (IIP),female,FS-9,Team Member,    Charlotte Clyde,22
Protocol (S/CPR),male,GS-11,Analyst,    John Johnston,23
Economic and Business Affairs (EB),female,FS-1,Manager,Susan Moody,19
European and Eurasian Affairs (EUR),female,FS-1,Mgmt,    Helen Sears  ,5
Economic and Business Affairs (EB),female,N/A,Team Member,    Angelina Kennedy   ,12
Consular Affairs (CA),male,GS-8,Team Member,Kevin Roper ,17
Protocol (S/CPR),male,FS-5,Team Member,Carlo Doud,8
Policy Planning Staff (S/P),male,FS-1,Manager,   Scott David  ,23
Information Resource Management (IRM),female,GS-8,Analyst,   Mickle,17
Director General of the Foreign Service and Director of Human Resources (DGHR),male,N/A,Manager,    Roy Young,1
Budget and Planning (BP),male,GS-9,Team Member,David Russell   ,12
Human Resources (DGHR),female,GS-11,Team Member,Susana Sanders ,4
Foreign Missions (OFM),female,N/A,Manager, Kimberly Rosario,22
"Democracy, Human Rights, and Labor (DRL)",male,GS-13,Team Member,    Thomas Guido,16
Economic and Business Affairs (EB),male,FS-2,Manager,Aldo Hawkins,20
Conflict and Stabilization Operations (CSO),female,FS-8,Team Member,Julia Verkamp,9
Budget and Planning (BP),male,FS-7,Team Member,Ira Myers,24
Mission to the United Nations (USUN),male,FS-6,Team Member,Michael Tan,17
Foreign Assistance (F),female,FS-6,Team Member,Ruby Moore,14
Administration (A),male,N/A,Team Member,James Mcguire,12
Chief Information Officer (CIO),male,GS9,Team Member, Victor Lambert,20
Quadrennial Diplomacy and Development Review (QDDR),male,FS-7,Team Member,Eugene Raymond    ,9
Diplomatic Security (DS),female,N/A,Analyst,Nancy Rivera ,22
Near Eastern Affairs (NEA),female,FS-3,Manager,Nicole Gilmartin,22
Diplomatic Security (DS),male,FS8,Team Member,Edward Buchanan   ,4
Budget and Planning (BP),female,FS-4,Team Member,Marjorie Salcedo,2
Human Resources (DGHR),male,N/A,Team Member,Richard Arias,14
Information Resource Management (IRM),female,N/A,Team Member,Angela Merritt,22
Medical Services (MED),male,FS-8,Team Member,    John Tantillo,16
Foreign Assistance (F),female,GS-15,Manager,Jane Miles,20
Political-Military Affairs (PM),female,N/A,Team Member,Rita Hillian,5
Political-Military Affairs (PM),female,N/A,Team Member,Wanda Pugliese     ,5
Trafficking in Persons (TIP),female,FS-5,Analyst,Damico,9
"Arms Control, Verification and Compliance (AVC)",male,FS-6,Team Member,Ebbs,24
"Population, Refugees, and Migration (PRM)",female,N/A,Team Member,Toti,5
Global Criminal Justice (GCJ),male,FS-3,Manager,Jacob Patridge,19
Trafficking in Persons (TIP),male,FS-8,Team Member,   Nathan Fields,15
South and Central Asian Affairs (SCA),male,GS-14,Manager,Rick Smith,14
International Security and Nonproliferation (ISN),male,GS10,Team Member,Samson     ,8
Intelligence and Research (INR),female,N/A,Team Member,Meredith Fincher,13
International Information Programs (IIP),female,N/A,Team Member,    Dessie Jackson,14
Global Engagement Center(GEC),female,N/A,Manager, Lisa Gange    ,10
Legal Adviser (L),female,SES-3,Executive,    Gloria Linthicum,20
Medical Services (MED),male,N/A,Team Member,    Stanley Fontillas,6
Foreign Assistance (F),female,GS-15,Mgmt,Margaret Best,4
Legal Adviser (L),male,SFS-4,Executive,David Bonilla,23
Consular Affairs (CA),female,N/A,Team Member,  Shirley Ramsey,4
Information Resource Management (IRM),male,GS-11,Team Member,Albert Casagrande,1
Trafficking in Persons (TIP),female,FS-6,Team Member,Tenorio,15
Medical Services (MED),male,FS4,Team Member,     James Edwards ,6
Legislative Affairs (H),female,GS9,Team Member,Connie Travis,14
Human Resources (DGHR),male,FS-4,Team Member,Kenneth Palacios,6
Human Resources (DGHR),female,FS7,Team Member,Shirley Barlow,10
International Security and Nonproliferation (ISN),female,FS-4,Team Member,Tanya Vollmer,7
Science & Technology Adviser (STAS),female,GS 8,Team Member,Catherine Dohse,20
"Democracy, Human Rights, and Labor (DRL)",male,SES-5,Executive,James Palacios,22
Inspector General (OIG),male,FS-3,Manager,     Ted Newton,20
Administration (A),male,N/A,Team Member,Peter Leonard,14
"Democracy, Human Rights, and Labor (DRL)",male,N/A,Manager, Michael Leslie,5
Global Youth Issues (GYI),female,GS-15,Mgmt,Gertrude Jerome,13
East Asian and Pacific Affairs (EAP),male,N/A,Team Member, Derek Moore  ,11
Counterterrorism (CT),male,FS-5,Team Member,     Robert Sewell,7
Energy Resources (ENR),female,FS-3,Manager,   Mendoza,3
Comptroller and Global Financial Services (CGFS),female,FS-4,Team Member, Doris Quinn,19
Chief Information Officer (CIO),female,FS-5,Team Member,Louise Basta,19
Legal Adviser (L),female,FS-6,Team Member,    Mary Brown,22
Global Criminal Justice (GCJ),female,GS-14,Mgmt,Ana Brown,8
Legislative Affairs (H),male,FS 5,Analyst,Steele,19
Director General of the Foreign Service and Director of Human Resources (DGHR),male,GS-14,Manager,Julio Pace,4
"Democracy, Human Rights, and Labor (DRL)",female,FS-1,Manager,Jayme Bradford ,17
Public Affairs (PA),male,FS9,Analyst,Joshua Huth   ,11
Medical Services (MED),male,N/A,Team Member,Patrick Frazer   ,12
Protocol (S/CPR),male,N/A,Team Member,William Jones  ,23
Energy Resources (ENR),male,FS-5,Team Member,Kevin Heffern,22
Protocol (S/CPR),male,GS-9,Analyst,   Edward Guillotte,17
Administration (A),male,SFS 1,Executive,  Thomas Terry,22
Educational and Cultural Affairs (ECA),female,FS-2,Manager,    Anne Thrash,22
Information Resource Management (IRM),female,GS-9,Team Member,Mary Zucker     ,3
Policy Planning Staff (S/P),female,GS-12,Team Member,Sandra Rutledge,19
International Security and Nonproliferation (ISN),male,FS-1,Manager,Edward King,11
Medical Services (MED),female,FS-8,Team Member,Judi Leblanc,24
"Democracy, Human Rights, and Labor (DRL)",male,N/A,Team Member,Ahmed Carder,5
Global Youth Issues (GYI),female,FS-3,Manager,Besson,15
Comptroller and Global Financial Services (CGFS),male,N/A,Team Member,Mason Nagy,24
Conflict and Stabilization Operations (CSO),female,N/A,Manager,Karen Sanchez  ,24
Administration (A),male,GS-7,Team Member,George Cutler,8
Administration (A),male,FS-6,Team Member,Jason Lombard,20
Science & Technology Adviser (STAS),female,GS-13,Team Member, Hattie Johnson,7
Global Youth Issues (GYI),female,FS2,Manager,    Mary Youngblood     ,21
Foreign Missions (OFM),female,N/A,Team Member,Melanie Millett,14
Counterterrorism (CT),female,FS-6,Team Member,Gray,23
Quadrennial Diplomacy and Development Review (QDDR),female,GS-14,Manager,Erin Jackson,23
Protocol (S/CPR),male,N/A,Manager,  Scott Farkas    ,3
Oceans and International Environmental and Scientific Affairs(OES),female,N/A,Manager,Jacqueline Shepard,18
Oceans and International Environmental and Scientific Affairs(OES),male,GS-13,Manager,Robert Kirby ,24
Oceans and International Environmental and Scientific Affairs(OES),male,N/A,Team Member,Whitney Duke,6
"Arms Control, Verification and Compliance (AVC)",female,FS-7,Team Member,Jacqueline Markus,2
Medical Services (MED),female,FS 1,Manager,  Paula Kalhorn    ,20
Legislative Affairs (H),male,FS-4,Team Member,     Herbert Murphy,14
Director General of the Foreign Service and Director of Human Resources (DGHR),male,FS-2,Manager,Jason Connor,7
Director General of the Foreign Service and Director of Human Resources (DGHR),male,N/A,Team Member,     Alfred Martinez,18
Budget and Planning (BP),male,N/A,Analyst,Gary Little,7
Foreign Assistance (F),female,GS-13,Manager,  Arlene Jackson,11
"Management Policy, Rightsizing and Innovation (PRI)",male,FS 4,Team Member,David Jones ,11
"Democracy, Human Rights, and Labor (DRL)",male,FS-8,Team Member,Harold Lacroix,7
Comptroller and Global Financial Services (CGFS),female,N/A,Team Member,Lonnie Quiles ,6
"Democracy, Human Rights, and Labor (DRL)",female,GS 11,Analyst,  Beatrice Barriere,6
South and Central Asian Affairs (SCA),male,GS-14,Manager,  Terry Neuman,10
Director General of the Foreign Service and Director of Human Resources (DGHR),male,N/A,Mgmt,     Benjamin Cramer,5
Energy Resources (ENR),male,FS-3,Manager,Joseph Collins,14
"Arms Control, Verification and Compliance (AVC)",female,FS 8,Team Member,Amy Gibson,24
Conflict and Stabilization Operations (CSO),female,FS3,Manager,  Marilyn Carpenter,19
Administration (A),male,FS-5,Team Member,     James Koffler   ,22
Executive Secretariat (S/ES),male,GS-13,Analyst,Carlos Rankins,2
International Organization Affairs (IO),female,FS-1,Manager,   Venus Payne,19
Trafficking in Persons (TIP),male,FS-5,Team Member,Paul Visvardis  ,22
Policy Planning Staff (S/P),male,FS-8,Team Member,    Brian Gionest,19
Oceans and International Environmental and Scientific Affairs(OES),female,FS3,Manager,     Polly Montgomery,11
Oceans and International Environmental and Scientific Affairs(OES),female,N/A,Team Member,Janet Bakken,11
Director General of the Foreign Service and Director of Human Resources (DGHR),male,FS-1,Manager,Harry Davis   ,14
East Asian and Pacific Affairs (EAP),male,FS-2,Manager,Smith,12
Medical Services (MED),male,N/A,Team Member,Ted Corbridge,17
Global Youth Issues (GYI),male,FS-4,Team Member,  Barry Mesiti,16
International Organization Affairs (IO),male,N/A,Team Member,Randy Paquette,11
Energy Resources (ENR),male,FS-2,Manager, Richard Hilchey,19
Comptroller and Global Financial Services (CGFS),male,FS-6,Analyst,Cory Rodriguez ,19
Human Resources (DGHR),female,FS-4,Team Member,    Amy Lewis,14
Oceans and International Environmental and Scientific Affairs(OES),female,SFS1,Executive,   Betty Green,19
Director General of the Foreign Service and Director of Human Resources (DGHR),male,GS-13,Manager, Dudley Smith   ,1
Protocol (S/CPR),female,FS-3,Manager,Ronda Doiron,15
Energy Resources (ENR),female,SFS 1,Executive,Arlene Reese,24
Inspector General (OIG),male,GS-12,Team Member,Paul Lawrence    ,14
Intelligence and Research (INR),male,N/A,Analyst,George King,16
Mission to the United Nations (USUN),female,SFS-5,Executive,Alice Caldwell   ,25
Inspector General (OIG),female,FS-4,Team Member,    Dorine Boettcher,5
Counterterrorism (CT),male,FS-9,Team Member,    Robert Lacour,25
Trafficking in Persons (TIP),male,FS4,Team Member,Mullins   ,10
Conflict and Stabilization Operations (CSO),female,GS 9,Team Member,Julie Glass     ,25
European and Eurasian Affairs (EUR),female,N/A,Analyst,Claudine Hamrick    ,20
Consular Affairs (CA),female,GS-12,Team Member,Molina     ,22
International Organization Affairs (IO),male,FS 1,Manager,Gary Hernandez,2
Conflict and Stabilization Operations (CSO),male,N/A,Team Member,  James Hamelton ,23
Conflict and Stabilization Operations (CSO),male,FS 5,Team Member,Howard Kelly,5
Medical Services (MED),female,GS-11,Team Member,Ruby Pearson,19
Energy Resources (ENR),male,N/A,Team Member,Cesar Boyd   ,4
"Democracy, Human Rights, and Labor (DRL)",female,GS-12,Team Member,Cristina Robertson  ,5
Foreign Missions (OFM),female,N/A,Team Member,Linda Cross   ,16
Executive Secretariat (S/ES),male,GS11,Team Member,Jason Parsons   ,6
Global Youth Issues (GYI),female,GS 13,Manager,    Mary Coutts,5
Consular Affairs (CA),male,GS-12,Analyst,    Jose Cramer,15
East Asian and Pacific Affairs (EAP),male,FS 4,Team Member,Jeff Babena,18
Trafficking in Persons (TIP),male,N/A,Team Member,Anthony Shepherd    ,17
Medical Services (MED),female,FS-2,Mgmt,   Mary Lawyer,4
Global Youth Issues (GYI),male,FS-1,Manager,     Richard Toenges,8
Public Affairs (PA),female,FS-2,Manager,     Scarlett     ,3
"Democracy, Human Rights, and Labor (DRL)",female,FS-5,Team Member,Stephanie Jimenez,23
Intelligence and Research (INR),female,GS 12,Team Member,     Linda Fletcher,23
Mission to the United Nations (USUN),female,GS-15,Manager,Oberlander   ,6
Consular Affairs (CA),male,N/A,Team Member,  William Johnson,15
Director General of the Foreign Service and Director of Human Resources (DGHR),male,FS-1,Manager,Jose Poling     ,18
International Narcotics and Law Enforcement Affairs (INL),male,FS-9,Team Member,  Jeff Hunnings,15
Counterterrorism (CT),male,N/A,Team Member,Tommy Johnson,5
Comptroller and Global Financial Services (CGFS),male,FS-6,Team Member,John Mcclain,7
Economic and Business Affairs (EB),female,N/A,Manager,   Minnie Leitheiser,25
