Bureau,Gender,Grade,Name,Skills,YearsService
Human Resources (DGHR),female,GS-15, Bonnie Watson    ,"Cloud Computing, Chinese, excel, Powerpoint, Web Development, Visualization, Economics",22
Medical Services (MED),female,N/A,Edith Davis,"japanese, education, cloud computing, email, Training, Portuguese, sharepoint, chinese, Interagency, operations, Climatology",14
Consular Affairs (CA),female,GS-11,Beth Otte,,21
International Information Programs (IIP),female,N/A,    Roberta Lynch,Foreign Policy,6
Global Criminal Justice (GCJ),female,GS7,  Trudnowski,Operations,22
"Population, Refugees, and Migration (PRM)",female,N/A,Ruth Hoover,"Marketing, planning, SEO",5
Diplomatic Security (DS),female,GS-11,Cindy Wood,"IT, SEO, Visualization, Engineering, Climatology, Disease Response, Foreign Policy, Japanese, Administration, Economics, Sharepoint, Design",4
Foreign Assistance (F),female,GS9,    Mccollum,Operations,15
Information Resource Management (IRM),female,FS-8,    Nadine Hudock ,"Cloud Computing, Email, administration, planning, Disaster Response, Outlook, web development, social media",23
Oceans and International Environmental and Scientific Affairs(OES),male,FS-2,     Leroy Moreno,"Education, Design",14
Oceans and International Environmental and Scientific Affairs(OES),male,GS 7,James See,"Excel, human resources, network security, cloud computing",9
Administration (A),male,GS-8,Ronald Johnson,"Editing, Email, visualization, Government, Engineering, Web Development",9
Conflict and Stabilization Operations (CSO),female,N/A,Jaime Chau   ,"Disease Response, SEO, Writing, Chinese, Budget, Management, Marketing, Outlook, french",7
Science & Technology Adviser (STAS),male,GS-13,Robert Gunderson,,14
Energy Resources (ENR),male,FS-6,Allan Murphy ,"Training, Design, Marketing, Foreign Policy, Data Analysis, disaster response, Planning",13
Policy Planning Staff (S/P),female,FS-1,  Nellie Jageman   ,"Social Media, Excel, Budget, Climatology, government, french",13
Mission to the United Nations (USUN),male,GS-13,James Ware,"Chinese, Research, healthcare, IT, Visualization, Design, Sharepoint, Email, Tourism, Outlook, Portuguese",21
Science & Technology Adviser (STAS),female,FS-8,Barbara Tolbert,"Visualization, Human Resources, Management, Climatology, french, Economics, Interagency, Social Media, Planning, Powerpoint, Spanish, Email",9
Global Women's Issues (S/GWI),female,FS-4,Carol Mendez    ,"powerpoint, administration, Education",6
Public Affairs (PA),female,N/A,   Sheila Davis    ,"Budget, Design, Communications, Foreign Policy, Training, cloud computing, Leadership, Interagency, Web Development, Writing",13
"Arms Control, Verification and Compliance (AVC)",female,GS-7,Sue Mangon,"Budget, healthcare, Operations, Graphics, management, Planning, Network Security, seo, engineering",12
Energy Resources (ENR),female,FS-7,Eva Adams,,23
South and Central Asian Affairs (SCA),female,N/A,Dot Clement     ,"communications, chinese, Training",17
Executive Secretariat (S/ES),male,GS-9,Leonard Wallace,Engineering,16
Protocol (S/CPR),male,FS 3,   Eric Morfin,"Visualization, Engineering, Japanese, Hydrology, Cloud Computing",20
South and Central Asian Affairs (SCA),female,N/A,     Mary Mickelson  ,"Marketing, Sharepoint, Training, Finance, excel, Interagency, education, Leadership, tourism, Engineering, Communications, IT",9
East Asian and Pacific Affairs (EAP),male,FS-2,James Johnson    ,"portuguese, tourism, Powerpoint, design, Spanish",6
Global Women's Issues (S/GWI),male,SFS4,Robert Bourg  ,"Tourism, Government, Outlook",20
International Narcotics and Law Enforcement Affairs (INL),female,GS-15,Tretheway,"Excel, Hydrology, Foreign Policy, Disaster Response, Web Development",22
South and Central Asian Affairs (SCA),female,FS-2,     Rosemary Dixon,"Interagency, visualization",8
Inspector General (OIG),female,FS-1,     Corina Adams ,"Operations, Planning",7
Mission to the United Nations (USUN),female,FS-1,   Willena Reina,"economics, Spanish, Planning, Operations, Communications, Disease Response, Chinese, Finance, Design, seo, healthcare",17
"Democracy, Human Rights, and Labor (DRL)",female,N/A,Brittany Smith ,Web Development,16
International Information Programs (IIP),female,GS-8,    Anna Ivy,"Interagency, Tourism",25
East Asian and Pacific Affairs (EAP),female,FS-1,Barbara Hilliard     ,"Administration, planning, French",6
Overseas Buildings Operations (OBO),female,GS13,Clara Brace   ,"German, Climatology, Research, Finance, chinese, Administration, Cloud Computing, tourism, Data Analysis, Planning, Disease Response",3
Administration (A),male,GS-12,     Daniel Smith,"Email, Editing, Finance",21
Foreign Assistance (F),female,SES-1,Tanya Showman,"Network Security, Government, French, Hydrology, graphics, education, Climatology, Visualization, Healthcare, design, finance, Excel",20
International Narcotics and Law Enforcement Affairs (INL),female,FS-5,Sherri Skidmore,"Management, Japanese, human resources, Visualization, Web Development, Portuguese",9
Foreign Assistance (F),female,FS-6,Moreno,"Social Media, Network Security, climatology, Data Analysis, Chinese, interagency, Excel",17
Educational and Cultural Affairs (ECA),male,GS-14,Jeffery Jeter    ,"Disease Response, German, SEO, Visualization",8
Legislative Affairs (H),male,FS-9,James Grable,"SEO, Portuguese, Outlook, Data Analysis, Disaster Response, research, Sharepoint",11
Foreign Assistance (F),male,FS 7,   Edward Canfield,"Management, French, Research, Engineering, Email, Training, Spanish, Tourism, Finance, Social Media",14
Conflict and Stabilization Operations (CSO),male,FS-5,John Finney     ,"Portuguese, Leadership, Japanese, Powerpoint, Planning, Economics",7
Global AIDS Coordinator (S/GAC),male,FS-7,Noakes,"seo, Outlook",12
Intelligence and Research (INR),male,N/A,   Timothy Bryant,budget,23
European and Eurasian Affairs (EUR),female,GS-11,   Joann Lavender     ,,5
East Asian and Pacific Affairs (EAP),male,N/A,Jimmy Gilbert  ,"Economics, climatology, human resources, Government, Visualization, management, disaster response, Spanish, Data Analysis, tourism",9
Political-Military Affairs (PM),male,FS-4,Ronald Whittington ,"Japanese, Education, Graphics",4
African Affairs (AF),male,GS-15, Carlos Monson,"Government, Cloud Computing, Disaster Response, data analysis, Tourism, SEO",1
Energy Resources (ENR),female,FS-3,Foust,"operations, Visualization, Sharepoint, Portuguese, German, Training, writing, Powerpoint, Management, French, Engineering, Data Analysis",23
Energy Resources (ENR),female,FS-9,Liz Orchard     ,"social media, communications, Administration, Economics, foreign policy, Sharepoint, Web Development, IT",4
Global AIDS Coordinator (S/GAC),male,N/A,Russell Robinson,"Foreign Policy, planning, economics",4
Budget and Planning (BP),female,FS-3,   Doris Ivy,,13
"Arms Control, Verification and Compliance (AVC)",female,FS-6,Sandra Chambers,"Writing, tourism, IT, Editing, engineering, Operations, Administration, data analysis",11
Medical Services (MED),male,FS-9,Jonathan Smith ,"Japanese, Administration, Training",17
Quadrennial Diplomacy and Development Review (QDDR),female,GS-8,     Joyce Aran,"Portuguese, Design, Foreign Policy, Disaster Response, Leadership, planning, Finance, Powerpoint",9
Protocol (S/CPR),male,GS-13,  James Marcucci    ,"Graphics, Budget, sharepoint, Planning, Human Resources, Excel, Communications, Engineering, Finance, Email, Powerpoint, Healthcare",24
Information Resource Management (IRM),male,SES-1,   John Burke     ,"Excel, graphics, interagency, social media, Email, Tourism, Marketing, economics, Engineering",24
Public Affairs (PA),female,N/A,Lynette Campbell,"editing, Interagency, economics",5
East Asian and Pacific Affairs (EAP),male,N/A,Matthew Roark    ,"Graphics, Budget, Excel",25
"Management Policy, Rightsizing and Innovation (PRI)",female,N/A,Karen French,Graphics,24
Overseas Buildings Operations (OBO),female,N/A,Violet Hidalgo,"German, Healthcare, Human Resources, SEO, French",19
Allowances (A/OPR/ALS),female,N/A,Phyllis Soledad,"disaster response, IT",11
Global Women's Issues (S/GWI),female,N/A,April Lynch,"foreign policy, German, Visualization, Budget, french",25
Policy Planning Staff (S/P),male,GS13,John Carroll,"Marketing, Editing, Data Analysis, French, research, Disaster Response, Engineering, Web Development, Sharepoint",20
International Narcotics and Law Enforcement Affairs (INL),female,GS-11,   Julia Phillips,"disaster response, Cloud Computing, training, Sharepoint, finance, Interagency, Web Development, education, Editing, budget",18
Legal Adviser (L),male,N/A,Richard Parisi   ,"Tourism, research, spanish, Chinese, Education, Hydrology",14
Trafficking in Persons (TIP),female,N/A,Melissa Brown  ,"Spanish, Tourism, writing, government, Graphics, disaster response, email, Social Media",21
International Narcotics and Law Enforcement Affairs (INL),female,FS-8,Wanda Kindle   ,,10
East Asian and Pacific Affairs (EAP),male,GS-8,William Elder,"Visualization, Social Media",7
"Arms Control, Verification and Compliance (AVC)",female,N/A,Shaun Turner,"German, Sharepoint, Finance, Portuguese, Disease Response, Leadership, japanese, climatology, Design, Research, Cloud Computing, it",22
East Asian and Pacific Affairs (EAP),male,N/A,Paul Butler,"Planning, Research, Management, Government, Education, Finance",25
"Policy, Planning, and Resources for Public Diplomacy and Public Affairs (PPR)",female,GS 7,Laura Hudson,"Planning, chinese",22
Comptroller and Global Financial Services (CGFS),male,GS12,Errol Somma,"Interagency, Research, Marketing, Government, French, SEO, Social Media, Outlook, human resources, Data Analysis",17
Western Hemisphere Affairs (WHA),male,N/A,   Elijah Chambers,"operations, Communications, government, Design, Japanese, Tourism",21
Political-Military Affairs (PM),male,N/A,   Richard Starr,"Training, Education, Japanese, German, Disaster Response, network security, Web Development, Spanish, Management, Data Analysis, Economics, foreign policy",15
Administration (A),male,FS-7,Britt Enriquez,,12
Director General of the Foreign Service and Director of Human Resources (DGHR),female,FS-6,Kelley,"excel, training, portuguese, SEO, Email, leadership, healthcare, Economics, Outlook, German",16
Diplomatic Security (DS),male,GS-12,Matthew King,"Portuguese, data analysis, Writing, Management, Research, Graphics",15
Educational and Cultural Affairs (ECA),male,GS14,     Aaron Kelly  ,"Chinese, outlook, Finance, Editing, Social Media, Foreign Policy, Disaster Response, Engineering, Disease Response",20
Economic and Business Affairs (EB),male,FS3,Jonathan Moffett,"Social Media, Disease Response, it, Excel, research, Portuguese, Powerpoint, leadership",5
Diplomatic Security (DS),female,N/A,Tracy Lu,"Japanese, Visualization, Interagency, Foreign Policy, sharepoint, Climatology, French, seo, Disease Response",18
Counterterrorism (CT),female,N/A,     Linda Johnson,"Disease Response, Tourism, Research, Outlook",19
Political-Military Affairs (PM),female,GS-15,Deanna Abrams,"Graphics, SEO, Design",10
International Organization Affairs (IO),male,FS-5,Carlos Lanford     ,Web Development,20
Legal Adviser (L),male,FS-1,   Joseph Harmon    ,"healthcare, SEO, graphics, Hydrology, Social Media, Portuguese",23
International Information Programs (IIP),male,GS-10,    Brian Robinson,"tourism, Engineering, Economics, Human Resources",25
Near Eastern Affairs (NEA),female,GS12,Tomika Arredondo,"Excel, Management, disaster response",25
Global AIDS Coordinator (S/GAC),male,FS-7,Justin Decambra   ,"operations, social media, Engineering, excel, Interagency, planning, Email, Network Security, Economics, Writing, it",15
Educational and Cultural Affairs (ECA),female,GS 8,Marty Guajardo,"Human Resources, Spanish, Foreign Policy, Editing, Network Security, Communications, writing",3
Conflict and Stabilization Operations (CSO),female,GS-11,     Shrum ,"human resources, Japanese, Disease Response, Leadership, management, Research",8
Administration (A),female,N/A,Mary Henderson,"human resources, Japanese, operations, editing, Planning, Finance, Visualization",11
Legislative Affairs (H),female,GS-11,Sadie Woolard    ,"Visualization, management, Editing, chinese, Budget, Climatology",19
Political-Military Affairs (PM),female,N/A,Carolyn Vandergriff ,"writing, economics, Data Analysis, Japanese",11
Economic and Business Affairs (EB),male,FS-9,Matthew Morrison,"japanese, Writing, Outlook, economics, Visualization, Portuguese, Email, Government, Disease Response, Human Resources, graphics",9
Administration (A),male,GS 10,     Kenneth King    ,"Operations, excel, Cloud Computing, Foreign Policy, Climatology, Engineering",9
"Management Policy, Rightsizing and Innovation (PRI)",female,FS-3,   Cynthia Cunningham,"Government, research, Spanish, Training, Human Resources, editing, tourism",11
Budget and Planning (BP),male,N/A,Brian Pittman,"Operations, Visualization, Government, healthcare, Leadership, design, portuguese, French, Training, German, Tourism",5
Overseas Buildings Operations (OBO),female,N/A,Jones,"Disaster Response, Writing, Management, powerpoint, Portuguese, Design, Graphics, Hydrology, Email, healthcare, IT",11
Inspector General (OIG),female,GS-15, Colleen Callahan,"German, Government",25
"Policy, Planning, and Resources for Public Diplomacy and Public Affairs (PPR)",female,FS-9,Normand,"Powerpoint, SEO, interagency, Economics, Finance, Management, Japanese",17
Administration (A),female,GS-13,Gertrude Dixon     ,"Leadership, editing, Disaster Response, Planning, Government, Japanese, French, Education, Training, Data Analysis, Marketing",6
Public Affairs (PA),male,FS-6,Herman Fitzpatrick,"Economics, Chinese, Editing, engineering",18
Human Resources (DGHR),female,FS-8,Judith Guers,"Management, outlook, disease response, economics, Japanese, Healthcare",11
Counterterrorism (CT),female,N/A,Patrice Hughes,"Operations, Foreign Policy, Disease Response, research, web development, German, social media, network security, Marketing, climatology",2
